approved,raw_value,normalized_value,canonical_code,canonical_name,parent_code,parent_name,match_action,alias_source,confidence,review_notes
false,B20/B40 N2 BP Connector,b20/b40 n2 bp connector,B20/B40_N2_BP_CONNECTOR,B20/B40 N2 BP Connector,,,review,inventory.description,30,unmatched candidate; requires review
false,B20/B40 Pump,b20/b40 pump,B20/B40_PUMP,B20/B40 Pump,,,review,inventory.description,30,unmatched candidate; requires review
false,B30 Cable / xxxx Connectors,b30 cable / xxxx connectors,B30_CABLE_/_XXXX_CONNECTORS,B30 Cable / xxxx Connectors,,,review,inventory.description,30,unmatched candidate; requires review
false,B30 ECG Board,b30 ecg board,ECG,ECG,,Patient Monitoring,review,inventory.description,65,taxonomy keyword candidate; requires review
false,B40 NIBP Keypad,b40 nibp keypad,B40_NIBP_KEYPAD,B40 NIBP Keypad,,,review,inventory.description,30,unmatched candidate; requires review
false,B450 module and rail Unit,b450 module and rail unit,B450_MODULE_AND_RAIL_UNIT,B450 module and rail Unit,,,review,inventory.description,30,unmatched candidate; requires review
false,B650 Keypad,b650 keypad,B650_KEYPAD,B650 Keypad,,,review,inventory.description,30,unmatched candidate; requires review
false,B650 Power Supply,b650 power supply,B650_POWER_SUPPLY,B650 Power Supply,,,review,inventory.description,30,unmatched candidate; requires review
false,Back light F-mx,back light f-mx,BACK_LIGHT_F-MX,Back light F-mx,,,review,inventory.description,30,unmatched candidate; requires review
false,Bag Arm and Protector Assy,bag arm and protector assy,BAG_ARM_AND_PROTECTOR_ASSY,Bag Arm and Protector Assy,,,review,inventory.description,30,unmatched candidate; requires review
false,Bag to vent switch,bag to vent switch,BAG_TO_VENT_SWITCH,Bag to vent switch,,,review,inventory.description,30,unmatched candidate; requires review
false,Bellows subassy adult ABA,bellows subassy adult aba,BELLOWS_SUBASSY_ADULT_ABA,Bellows subassy adult ABA,,,review,inventory.description,30,unmatched candidate; requires review
false,Brushless DC Motor,brushless dc motor,BRUSHLESS_DC_MOTOR,Brushless DC Motor,,,review,inventory.description,30,unmatched candidate; requires review
false,Button,button,BUTTON,Button,,,review,inventory.description,30,unmatched candidate; requires review
false,CA B15 to O2 cell - o2 cell cable,ca b15 to o2 cell - o2 cell cable,CA_B15_TO_O2_CELL_-_O2_CELL_CABLE,CA B15 to O2 cell - o2 cell cable,,,review,inventory.description,30,unmatched candidate; requires review
false,CPU Board for xxxx,cpu board for xxxx,CPU_BOARD_FOR_XXXX,CPU Board for xxxx,,,review,inventory.description,30,unmatched candidate; requires review
false,CPU board SLE 5000,cpu board sle 5000,CPU_BOARD_SLE_5000,CPU board SLE 5000,,,review,inventory.description,30,unmatched candidate; requires review
false,CPU board SLE4000,cpu board sle4000,CPU_BOARD_SLE4000,CPU board SLE4000,,,review,inventory.description,30,unmatched candidate; requires review
false,Cable Isolation Nurse Call,cable isolation nurse call,CABLE_ISOLATION_NURSE_CALL,Cable Isolation Nurse Call,,,review,inventory.description,30,unmatched candidate; requires review
false,Cable management arm short,cable management arm short,CABLE_MANAGEMENT_ARM_SHORT,Cable management arm short,,,review,inventory.description,30,unmatched candidate; requires review
false,Circuit Breaker,circuit breaker,CIRCUIT_BREAKER,Circuit Breaker,,,review,inventory.description,30,unmatched candidate; requires review
false,Clip bag arm,clip bag arm,CLIP_BAG_ARM,Clip bag arm,,,review,inventory.description,30,unmatched candidate; requires review
false,Condenser Module,condenser module,CONDENSER_MODULE,Condenser Module,,,review,inventory.description,30,unmatched candidate; requires review
false,Conical filter,conical filter,CONICAL_FILTER,Conical filter,,,review,inventory.description,30,unmatched candidate; requires review
false,Connectors SLE 2000,connectors sle 2000,CONNECTORS_SLE_2000,Connectors SLE 2000,,,review,inventory.description,30,unmatched candidate; requires review
false,Connectors SLE 4000/5000,connectors sle 4000/5000,CONNECTORS_SLE_4000/5000,Connectors SLE 4000/5000,,,review,inventory.description,30,unmatched candidate; requires review
false,Control Board for Panda Warmer,control board for panda warmer,CONTROL_BOARD_FOR_PANDA_WARMER,Control Board for Panda Warmer,,,review,inventory.description,30,unmatched candidate; requires review
false,Control board SLE 5000,control board sle 5000,CONTROL_BOARD_SLE_5000,Control board SLE 5000,,,review,inventory.description,30,unmatched candidate; requires review
false,Control board omni-bed,control board omni-bed,CONTROL_BOARD_OMNI-BED,Control board omni-bed,,,review,inventory.description,30,unmatched candidate; requires review
false,Corner Grommet,corner grommet,CORNER_GROMMET,Corner Grommet,,,review,inventory.description,30,unmatched candidate; requires review
false,Cover AGSS,cover agss,COVER_AGSS,Cover AGSS,,,review,inventory.description,30,unmatched candidate; requires review
false,Cover assembly canister,cover assembly canister,COVER_ASSEMBLY_CANISTER,Cover assembly canister,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 2500 Buttons,dash 2500 buttons,DASH_2500_BUTTONS,Dash 2500 Buttons,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 2500 Trimknob,dash 2500 trimknob,DASH_2500_TRIMKNOB,Dash 2500 Trimknob,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 2500 power supply,dash 2500 power supply,DASH_2500_POWER_SUPPLY,Dash 2500 power supply,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 3000 display,dash 3000 display,DASH_3000_DISPLAY,Dash 3000 display,,,review,inventory.description,30,unmatched candidate; requires review
